provider_id,holding_company,technology_code,technology_code_desc,location_count_res,unit_count_res,location_count_bus,unit_count_bus
260010,Concept Communication Corp.,50,Fiber to the Premises,1238,1842,1237,1557
260010,Concept Communication Corp.,70,Unlicensed Fixed Wireless,230554,316116,0,0
260016,Digi Comm Enterprises LLC,70,Unlicensed Fixed Wireless,30537,38280,30537,38280
260017,District of Columbia Government/Office of the Chief Technology Officer,50,Fiber to the Premises,0,0,59,551
260019,"G5 Internet, LLC",70,Unlicensed Fixed Wireless,3171,3445,2931,3192
260025,Broadband on Demand LLC,70,Unlicensed Fixed Wireless,38840,44319,38840,44319
260038,Radio Link Internet,50,Fiber to the Premises,171,279,171,279
260038,Radio Link Internet,70,Unlicensed Fixed Wireless,19002,20392,19002,20392
260042,Roller Network LLC,10,Copper,0,0,4,52
260042,Roller Network LLC,70,Unlicensed Fixed Wireless,0,0,4,6
260042,Roller Network LLC,71,Licensed Fixed Wireless,0,0,4,4
260049,SMR Communications,40,Cable,899,976,899,976
260049,SMR Communications,50,Fiber to the Premises,79,84,79,84
260051,Spry Wireless Communications Inc.,70,Unlicensed Fixed Wireless,46407,58287,46407,58287
260052,Succeed.Net,70,Unlicensed Fixed Wireless,183575,238894,183575,238894
260056,Total Highspeed LLC,50,Fiber to the Premises,15906,16718,15906,16718
260056,Total Highspeed LLC,70,Unlicensed Fixed Wireless,177275,204943,177275,204943
260062,WVVA.net Inc.,50,Fiber to the Premises,2789,2959,696,876
260062,WVVA.net Inc.,70,Unlicensed Fixed Wireless,13396,14925,2803,4031
260062,WVVA.net Inc.,72,LBR Fixed Wireless,8814,9653,1617,2224
260068,"SnowCloud Services, LLC",71,Licensed Fixed Wireless,3556,6380,3556,6380
260069,Spanish Fork City,40,Cable,12695,13871,12695,13871
260069,Spanish Fork City,50,Fiber to the Premises,12695,13871,12695,13871
260070,Warm Springs Telecommunications Company,70,Unlicensed Fixed Wireless,1148,1148,1148,1148
270002,1 Point Communications,10,Copper,0,0,1,5
270002,1 Point Communications,50,Fiber to the Premises,17,19,4,11
270002,1 Point Communications,70,Unlicensed Fixed Wireless,24,27,2,2
270006,AFES Network Services LLC,70,Unlicensed Fixed Wireless,16253,19096,16253,19096
270009,AirRunner Networks LLC,70,Unlicensed Fixed Wireless,621,907,621,907
270011,"Alyrica Networks, Inc.",10,Copper,30,292,2,8
270011,"Alyrica Networks, Inc.",50,Fiber to the Premises,1732,1967,1688,1744
270011,"Alyrica Networks, Inc.",70,Unlicensed Fixed Wireless,73235,105580,66692,98106
270011,"Alyrica Networks, Inc.",71,Licensed Fixed Wireless,93427,132243,93080,131812
270011,"Alyrica Networks, Inc.",72,LBR Fixed Wireless,28643,41048,27686,39860
270012,Aristotle Unified Communications Inc.,50,Fiber to the Premises,202,209,202,209
270012,Aristotle Unified Communications Inc.,70,Unlicensed Fixed Wireless,833,853,833,853
270012,Aristotle Unified Communications Inc.,71,Licensed Fixed Wireless,38098,44012,38098,44012
270012,Aristotle Unified Communications Inc.,72,LBR Fixed Wireless,111702,136458,111702,136458
270014,Bowling Green Municipal Utilities,50,Fiber to the Premises,0,0,626,2936
270016,Bethesda Wireless LLC,50,Fiber to the Premises,10,10,10,10
270016,Bethesda Wireless LLC,70,Unlicensed Fixed Wireless,1259,1329,1,1
270020,"Cal.net, Inc.",50,Fiber to the Premises,72,151,72,151
270020,"Cal.net, Inc.",70,Unlicensed Fixed Wireless,475424,605231,475424,605231
270020,"Cal.net, Inc.",71,Licensed Fixed Wireless,82661,105560,82661,105560
270020,"Cal.net, Inc.",72,LBR Fixed Wireless,526767,700574,526767,700574
270023,"City of Richmond, Indiana",50,Fiber to the Premises,0,0,1909,3513
270023,"City of Richmond, Indiana",70,Unlicensed Fixed Wireless,13,13,1909,3513
270024,City of Wyandotte,40,Cable,9933,11798,9933,11798
270024,City of Wyandotte,50,Fiber to the Premises,9933,11798,9933,11798
270025,"ClearSKY Systems, Inc.",70,Unlicensed Fixed Wireless,48730,56544,48730,56544
270026,"CloudWyze, Inc.",50,Fiber to the Premises,8003,9904,8003,9904
270026,"CloudWyze, Inc.",71,Licensed Fixed Wireless,7257,8950,1886,3239
270026,"CloudWyze, Inc.",72,LBR Fixed Wireless,5162,6212,749,1204
270027,Columbia Energy LLC,50,Fiber to the Premises,470,515,470,515
270027,Columbia Energy LLC,70,Unlicensed Fixed Wireless,10164,11955,10164,11955
270027,Columbia Energy LLC,71,Licensed Fixed Wireless,18457,22456,18457,22456
270045,Getwireless.net,50,Fiber to the Premises,60,1946,0,0
270051,"Impulse Internet Services, LLC",50,Fiber to the Premises,0,0,11,30
270051,"Impulse Internet Services, LLC",70,Unlicensed Fixed Wireless,15,18,10,19
270061,Maxwire Inc.,70,Unlicensed Fixed Wireless,9986,11010,9986,11010
270061,Maxwire Inc.,72,LBR Fixed Wireless,8251,9112,8251,9112
270062,"Medicine Wheel Website Design, Inc.",50,Fiber to the Premises,63,163,63,163
270062,"Medicine Wheel Website Design, Inc.",70,Unlicensed Fixed Wireless,951,1076,951,1076
270063,"MontanaSky Networks, Inc.",50,Fiber to the Premises,2304,2698,2304,2698
270063,"MontanaSky Networks, Inc.",70,Unlicensed Fixed Wireless,8955,11921,8955,11921
270063,"MontanaSky Networks, Inc.",71,Licensed Fixed Wireless,4513,5467,4513,5467
270065,Noize Communications LLC,70,Unlicensed Fixed Wireless,12448,14154,12448,14154
270073,Sky Valley Network LLC,70,Unlicensed Fixed Wireless,958,1133,54,80
270074,"Skywave Wireless, Inc.",50,Fiber to the Premises,3608,3957,3608,3957
270074,"Skywave Wireless, Inc.",70,Unlicensed Fixed Wireless,6992,7535,6992,7535
270077,SonicNet Inc.,50,Fiber to the Premises,420,466,23,33
270077,SonicNet Inc.,70,Unlicensed Fixed Wireless,4052,4646,0,0
270077,SonicNet Inc.,71,Licensed Fixed Wireless,2823,3317,0,0
270084,TC LLC,40,Cable,396,402,396,402
270084,TC LLC,50,Fiber to the Premises,290,298,290,298
270084,TC LLC,70,Unlicensed Fixed Wireless,905,915,905,915
270090,CG Computer Works LLC,50,Fiber to the Premises,9462,10253,1140,1725
270090,CG Computer Works LLC,70,Unlicensed Fixed Wireless,1858,1949,1858,1949
270096,"Velocity Broadband Internet, Inc.",70,Unlicensed Fixed Wireless,3114,3308,3114,3308
270099,"Western Communications, Inc.",70,Unlicensed Fixed Wireless,277,312,277,312
270101,"WireFree Communications, Inc.",70,Unlicensed Fixed Wireless,32856,38110,33173,38593
270102,X1 Communications Inc.,70,Unlicensed Fixed Wireless,5015,14042,5015,14042
270115,Webhiway Communications LLC,70,Unlicensed Fixed Wireless,77,92,2,4
280001,Cogeco Cable Holdings II Inc.,40,Cable,1170169,1582349,1170169,1582349
280001,Cogeco Cable Holdings II Inc.,50,Fiber to the Premises,75043,149591,75043,149591
280004,"Air Link Rural Broadband, LLC",50,Fiber to the Premises,4464,4746,4464,4746
280004,"Air Link Rural Broadband, LLC",70,Unlicensed Fixed Wireless,37288,40753,37288,40753
280005,Aureon Network Services Inc.,10,Copper,59,92,181,805
280005,Aureon Network Services Inc.,40,Cable,2,2,23,35
280005,Aureon Network Services Inc.,50,Fiber to the Premises,2,2,250,436
280010,Borough of Kutztown,50,Fiber to the Premises,1664,2738,0,0
280011,"James Bouse Enterprises, LLC",50,Fiber to the Premises,5500,7108,5500,7108
280011,"James Bouse Enterprises, LLC",70,Unlicensed Fixed Wireless,4470,5706,4470,5706
280014,City of Longmont,50,Fiber to the Premises,30433,44759,30433,44759
280017,"Co-Mo Electric Cooperative, Inc.",50,Fiber to the Premises,44508,49452,44508,49452
280020,"Eastern Shore Communications, LLC",50,Fiber to the Premises,1573,2150,1573,2150
280020,"Eastern Shore Communications, LLC",70,Unlicensed Fixed Wireless,6414,13583,6414,13583
280024,FractalVision,70,Unlicensed Fixed Wireless,1197,1229,1197,1229
280035,Mile High Networks,70,Unlicensed Fixed Wireless,55391,65278,55391,65278
280042,Outback Internet LLC,70,Unlicensed Fixed Wireless,964,1048,964,1048
280046,"Professional Satellite Services, Inc.",70,Unlicensed Fixed Wireless,884,1050,884,1050
280047,"Rayfield Communications, Inc.",10,Copper,0,0,2,11
280047,"Rayfield Communications, Inc.",70,Unlicensed Fixed Wireless,1214,1586,1214,1586
280052,"San Juan Cable, Inc.",40,Cable,1797,2180,1797,2180
280052,"San Juan Cable, Inc.",50,Fiber to the Premises,45,52,45,52
280057,"Tekify, LLC",50,Fiber to the Premises,662,860,662,860
280057,"Tekify, LLC",70,Unlicensed Fixed Wireless,28639,48303,28567,48157
280063,Veloxnet Inc.,50,Fiber to the Premises,155,182,155,182
280063,Veloxnet Inc.,70,Unlicensed Fixed Wireless,232,902,130,792
280063,Veloxnet Inc.,72,LBR Fixed Wireless,86,103,86,103
280067,"Rural Connect, LLC",70,Unlicensed Fixed Wireless,804,823,74,95
280068,"Zirkel Wireless, LLC",70,Unlicensed Fixed Wireless,3064,5446,2981,5329
280068,"Zirkel Wireless, LLC",71,Licensed Fixed Wireless,14772,24718,14716,24640
280069,ZMP Holding Company,10,Copper,77,80,81,84
280069,ZMP Holding Company,50,Fiber to the Premises,642,753,649,760
280069,ZMP Holding Company,70,Unlicensed Fixed Wireless,1337,1532,1576,1821
280073,LARIAT,50,Fiber to the Premises,2,24,2,24
280073,LARIAT,70,Unlicensed Fixed Wireless,9944,14827,9944,14827
280073,LARIAT,71,Licensed Fixed Wireless,9944,14827,9944,14827
280078,"Horizon Cable TV, Inc.",40,Cable,1995,2282,1995,2282
280078,"Horizon Cable TV, Inc.",50,Fiber to the Premises,1095,1212,1095,1212
290004,"AtLink Services, LLC",50,Fiber to the Premises,67,70,15,70
290004,"AtLink Services, LLC",70,Unlicensed Fixed Wireless,43850,52531,5956,10382
290004,"AtLink Services, LLC",71,Licensed Fixed Wireless,91709,110044,20291,31789
290004,"AtLink Services, LLC",72,LBR Fixed Wireless,215354,254823,17822,35563
290006,"AirFiber, Inc.",70,Unlicensed Fixed Wireless,50274,62911,50274,62911
290007,Alamo Broadband Inc.,50,Fiber to the Premises,8,11,8,11
290007,Alamo Broadband Inc.,70,Unlicensed Fixed Wireless,152,313,117,271
290008,AlignTec Inc.,50,Fiber to the Premises,9,18,0,0
290008,AlignTec Inc.,70,Unlicensed Fixed Wireless,14099,17757,0,0
290008,AlignTec Inc.,71,Licensed Fixed Wireless,1,1,0,0
290009,ALTIUS Communications LLC,70,Unlicensed Fixed Wireless,103120,122950,102415,122172
290009,ALTIUS Communications LLC,72,LBR Fixed Wireless,239962,351809,239962,351809
290010,AMG Technology Investment Group LLC,50,Fiber to the Premises,22126,25146,22126,25146
290010,AMG Technology Investment Group LLC,70,Unlicensed Fixed Wireless,2347873,2760659,2347873,2760659
290010,AMG Technology Investment Group LLC,71,Licensed Fixed Wireless,1878447,2261143,1878447,2261143
290010,AMG Technology Investment Group LLC,72,LBR Fixed Wireless,636697,837727,636697,837727
290015,"Bear River Communications, LLC",70,Unlicensed Fixed Wireless,7219,8207,7219,8207
290016,"Believe Wireless, LLC",50,Fiber to the Premises,2,13,2,13
290016,"Believe Wireless, LLC",70,Unlicensed Fixed Wireless,511899,787305,511899,787305
290018,Pocomoke Holdings,50,Fiber to the Premises,223,223,223,223
290018,Pocomoke Holdings,70,Unlicensed Fixed Wireless,37942,47436,37942,47436
290018,Pocomoke Holdings,71,Licensed Fixed Wireless,249102,327875,249102,327875
290031,"Computer Techniques, Inc.",50,Fiber to the Premises,18658,21365,18658,21365
290037,"Digital Connections, Inc.",50,Fiber to the Premises,7456,7574,7456,7574
290039,"DMCI Broadband, LLC",50,Fiber to the Premises,904,905,904,905
290039,"DMCI Broadband, LLC",70,Unlicensed Fixed Wireless,21016,22733,21016,22733
290039,"DMCI Broadband, LLC",71,Licensed Fixed Wireless,15239,16212,15239,16212
290042,"Electronic Corporate Pages, Inc.",70,Unlicensed Fixed Wireless,184040,229262,184040,229262
290051,Grand County Internet Services Inc.,70,Unlicensed Fixed Wireless,3229,3688,3005,3441
290051,Grand County Internet Services Inc.,72,LBR Fixed Wireless,1174,2098,1173,2097
290052,In The Stix Broadband LLC,50,Fiber to the Premises,363,387,363,387
290052,In The Stix Broadband LLC,70,Unlicensed Fixed Wireless,39851,51051,39803,50998
290052,In The Stix Broadband LLC,72,LBR Fixed Wireless,13722,16687,13722,16687
290053,Innovative Financial Technologies LLC,10,Copper,50,517,50,517
290053,Innovative Financial Technologies LLC,40,Cable,4900,5479,4900,5479
290053,Innovative Financial Technologies LLC,50,Fiber to the Premises,5962,6605,5962,6605
290053,Innovative Financial Technologies LLC,70,Unlicensed Fixed Wireless,92634,118027,92298,117685
290053,Innovative Financial Technologies LLC,72,LBR Fixed Wireless,15381,18031,15381,18031
290057,"Interstate Wireless, Inc.",70,Unlicensed Fixed Wireless,1159,1208,0,0
290058,JMZ Corporation,50,Fiber to the Premises,15402,17154,15402,17154
290058,JMZ Corporation,70,Unlicensed Fixed Wireless,136871,178323,136871,178323
290058,JMZ Corporation,72,LBR Fixed Wireless,27423,33896,27423,33896
290061,Lake Region Technology & Communications LLC,50,Fiber to the Premises,23353,27543,23353,27543
290065,ISP Industries LLC,70,Unlicensed Fixed Wireless,739756,1082525,739756,1082525
290075,Northwest Open Access Network,50,Fiber to the Premises,3241,3904,1444,3060
290079,"Portative Technologies, LLC",70,Unlicensed Fixed Wireless,4003,4522,4003,4522
290087,Rural Broadband Network Services LLC,70,Unlicensed Fixed Wireless,1030,1169,170,220
290088,San Diego Broadband,70,Unlicensed Fixed Wireless,250911,377551,250911,377551
290091,SmartBurst LLC,70,Unlicensed Fixed Wireless,5097,6111,5089,6103
290091,SmartBurst LLC,72,LBR Fixed Wireless,47,56,47,56
290093,"Declaration Networks Group, Inc.",40,Cable,1254,1452,1254,1452
290093,"Declaration Networks Group, Inc.",50,Fiber to the Premises,903,1101,903,1101
290093,"Declaration Networks Group, Inc.",70,Unlicensed Fixed Wireless,475289,649959,475289,649959
290097,"Splash Wireless Internet, LLC",70,Unlicensed Fixed Wireless,18472,19849,18472,19849
290099,"Taos Net, LLC",70,Unlicensed Fixed Wireless,12851,17138,12851,17138
290103,TELE-PAGE Inc.,70,Unlicensed Fixed Wireless,562,712,562,712
290105,Television Association of Republic,40,Cable,554,646,554,646
290105,Television Association of Republic,50,Fiber to the Premises,81,104,81,104
290105,Television Association of Republic,70,Unlicensed Fixed Wireless,1041,1168,1041,1168
290106,The Junction Internet LLC,70,Unlicensed Fixed Wireless,35270,39495,35270,39495
290106,The Junction Internet LLC,72,LBR Fixed Wireless,83653,95403,83653,95403
290108,Tnet Broadband Internet,70,Unlicensed Fixed Wireless,6121,6642,375,390
290111,"Viasat, Inc.",60,GSO Satellite,114108103,161385745,114311948,161640740
290118,Webformix Company,70,Unlicensed Fixed Wireless,4038,4710,0,0
290118,Webformix Company,71,Licensed Fixed Wireless,5155,7071,0,0
290118,Webformix Company,72,LBR Fixed Wireless,2166,2713,0,0
290121,"The Tahlequah, LLC",70,Unlicensed Fixed Wireless,81,84,81,84
290123,Fluid-Blu Technologies,70,Unlicensed Fixed Wireless,7808,8776,7808,8776
290128,"Kern Valley Wireless, Inc.",70,Unlicensed Fixed Wireless,2192,2655,2089,2552
290128,"Kern Valley Wireless, Inc.",72,LBR Fixed Wireless,4083,4624,4083,4624
300002,"Bluebird Network, LLC",50,Fiber to the Premises,0,0,37539,55609
300005,"Acme Communications, Inc.",50,Fiber to the Premises,2040,2324,2040,2324
300008,"Airosurf Communications, Inc.",70,Unlicensed Fixed Wireless,49703,64544,49703,64544
300010,"Anvil Communications, Inc.",70,Unlicensed Fixed Wireless,5158,5764,0,0
300015,City of Bagley,40,Cable,535,868,138,258
300016,"Basin 2 Way Radio, Inc.",70,Unlicensed Fixed Wireless,332,392,0,0
300019,"Bluespan Wireless, LLC",40,Cable,1253,1393,1253,1393
300019,"Bluespan Wireless, LLC",50,Fiber to the Premises,688,724,688,724
300019,"Bluespan Wireless, LLC",70,Unlicensed Fixed Wireless,432761,600306,432761,600306
300020,Borealis Broadband Inc.,70,Unlicensed Fixed Wireless,56744,94272,5175,18017
300024,"Brolly Communications, Inc.",70,Unlicensed Fixed Wireless,7043,7809,6970,7739
300025,Hilbert Communications LLC,50,Fiber to the Premises,996,1092,996,1092
300025,Hilbert Communications LLC,70,Unlicensed Fixed Wireless,208782,263720,208782,263720
300025,Hilbert Communications LLC,71,Licensed Fixed Wireless,453583,565071,453583,565071
300029,Cirra Networks,70,Unlicensed Fixed Wireless,51872,73223,48376,69376
300030,"City of Madison, Wisconsin",50,Fiber to the Premises,0,0,32342,90765
300031,City of Monticello,50,Fiber to the Premises,4012,6360,4012,6360
300034,Communications Management Group LLC,50,Fiber to the Premises,0,0,123,579
300042,"Critical Hub Networks, Inc.",50,Fiber to the Premises,69925,137381,69925,137381
300043,Cruzio Internet,50,Fiber to the Premises,57,616,57,616
300043,Cruzio Internet,70,Unlicensed Fixed Wireless,1560,4266,1560,4266
300044,GI DI Vertigo Acquisition LLC,50,Fiber to the Premises,712,747,645,3162
300049,Eastern Shore of Virginia Broadband Authority,50,Fiber to the Premises,21011,23595,21011,23595
300057,"Fatbeam Holdings, LLC",50,Fiber to the Premises,80,80,727,2148
300057,"Fatbeam Holdings, LLC",70,Unlicensed Fixed Wireless,95121,108983,10531,19792
300057,"Fatbeam Holdings, LLC",72,LBR Fixed Wireless,87458,99658,9029,17383
300063,"Gutierrez-Palmenberg, Inc.",70,Unlicensed Fixed Wireless,1445872,1939750,1445872,1939750
300066,Hunter Communications & Technologies LLC,40,Cable,264,333,264,333
300066,Hunter Communications & Technologies LLC,50,Fiber to the Premises,42414,52565,42415,52566
300066,Hunter Communications & Technologies LLC,70,Unlicensed Fixed Wireless,13432,15535,13432,15535
300069,Freeway Networks LLC,70,Unlicensed Fixed Wireless,557,558,0,0
300074,Jo-Carroll Electric Cooperative Inc.,50,Fiber to the Premises,13195,14296,13194,14295
300074,Jo-Carroll Electric Cooperative Inc.,70,Unlicensed Fixed Wireless,20376,22831,20376,22831
300077,"Kansas Broadband Internet, Inc.",70,Unlicensed Fixed Wireless,19437,21554,0,0
300078,Windfield Enterprises LLC,71,Licensed Fixed Wireless,169039,220344,169039,220344
300078,Windfield Enterprises LLC,72,LBR Fixed Wireless,164513,200360,164513,200360
300079,"King Street Wireless, LP",71,Licensed Fixed Wireless,39,50,39,50
300083,Local Internet Service Company,50,Fiber to the Premises,2584,3416,2584,3416
300085,"Tower Bridge Mobile Holdings, LLC",71,Licensed Fixed Wireless,34012,47635,34012,47635
300086,MCNC,50,Fiber to the Premises,0,0,250,726
300087,Marshall Municipal Utilities,50,Fiber to the Premises,5786,6581,5786,6581
300089,"Metropolitan Unified Fiber Network Consortium, Unincorporated Association",50,Fiber to the Premises,0,0,2895,13310
300091,Midwest Energy Cooperative,50,Fiber to the Premises,52129,58198,10852,14236
300092,"Mission Valley Communications, LLC",70,Unlicensed Fixed Wireless,16387,18181,16387,18181
300097,"XTel Communications, Inc.",10,Copper,0,0,32,50
300097,"XTel Communications, Inc.",40,Cable,0,0,13,216
300097,"XTel Communications, Inc.",50,Fiber to the Premises,0,0,87,345
300103,"NetFortris Acquisition Co., Inc.",50,Fiber to the Premises,0,0,451,1968
300107,"Night Owl Wireless, LLC",50,Fiber to the Premises,881,950,881,950
300107,"Night Owl Wireless, LLC",70,Unlicensed Fixed Wireless,1077,1155,1077,1155
300107,"Night Owl Wireless, LLC",72,LBR Fixed Wireless,835,852,835,852
300111,"Northern Network Concepts, Inc.",70,Unlicensed Fixed Wireless,2943,3499,2943,3499
300111,"Northern Network Concepts, Inc.",72,LBR Fixed Wireless,4854,6075,4854,6075
300112,Okanogan County PUD No. 1,50,Fiber to the Premises,485,987,485,987
300112,Okanogan County PUD No. 1,70,Unlicensed Fixed Wireless,13377,16143,13214,15961
300113,Orange S.A.,50,Fiber to the Premises,0,0,21,39
300116,"Pasty.net, Inc.",70,Unlicensed Fixed Wireless,893,958,893,958
300117,"Peak WiFi, LLC",70,Unlicensed Fixed Wireless,1920,2213,1920,2213
300118,Princeton Electric Plant Board,50,Fiber to the Premises,27,49,196,260
300120,"Professional Value Internet Services, LLC",50,Fiber to the Premises,667,883,667,883
300120,"Professional Value Internet Services, LLC",70,Unlicensed Fixed Wireless,37297,43732,37297,43732
300120,"Professional Value Internet Services, LLC",72,LBR Fixed Wireless,40509,47605,40509,47605
300125,"Richon, Inc.",70,Unlicensed Fixed Wireless,18214,23943,18214,23943
300131,Router12 Networks LLC,40,Cable,94,94,21,24
300131,Router12 Networks LLC,50,Fiber to the Premises,288,329,89,98
300131,Router12 Networks LLC,70,Unlicensed Fixed Wireless,16856,19754,3420,5174
300132,Royce's Electronics Inc.,70,Unlicensed Fixed Wireless,19878,24173,19878,24173
300132,Royce's Electronics Inc.,72,LBR Fixed Wireless,14874,18661,14874,18661
300135,SDN Communications,50,Fiber to the Premises,0,0,1577,3671
300136,SDWISP,70,Unlicensed Fixed Wireless,1340,1491,0,0
300137,PathFinders USA Inc.,70,Unlicensed Fixed Wireless,9162,10965,9162,10965
300137,PathFinders USA Inc.,71,Licensed Fixed Wireless,6806,8183,6806,8183
300138,"SS Ventures, Inc.",50,Fiber to the Premises,168,603,63,542
300138,"SS Ventures, Inc.",70,Unlicensed Fixed Wireless,883,1704,339,1127
300144,"Siuslaw Broadband, LLC",50,Fiber to the Premises,1093,1399,1093,1399
